Question #, SD, D, N, A, SA
Question 1, 1, 14, 65, 10, 10
Question 2, 8, 27, 49, 2, 14
Question 3, 11, 24, 48, 5, 12
Question 4, 9, 34, 29, 18, 10
Question 5, 13, 13, 46, 19, 9
Question 6, 1, 18, 50, 23, 8
Question 7, 14, 9, 76, 0, 1
Question 8, 13, 25, 36, 12, 14
Question 9, 9, 22, 36, 24, 9
Question 10, 9, 4, 52, 23, 12
Question 11, 8, 6, 45, 32, 9
Question 12, 5, 15, 58, 12, 10
Question 13, 3, 31, 25, 30, 11
Question 14, 12, 30, 33, 14, 11
Question 15, 5, 14, 67, 4, 10
Question 16, 14, 16, 50, 20, 0
Question 17, 10, 21, 32, 25, 12
Question 18, 7, 25, 39, 29, 0
Question 19, 6, 26, 53, 12, 3
Question 20, 13, 24, 49, 6, 8
Question 21, 5, 13, 49, 24, 9
Question 22, 3, 16, 70, 11, 0
Question 23, 7, 27, 48, 11, 7
Question 24, 14, 8, 68, 9, 1
Question 25, 9, 11, 70, 8, 2
Question 26, 12, 15, 59, 4, 10
Question 27, 3, 16, 55, 24, 2
Question 28, 2, 7, 66, 25, 0
Question 29, 0, 27, 66, 4, 3
Question 30, 8, 27, 46, 19, 0
Question 31, 10, 30, 47, 4, 9
Question 32, 5, 26, 25, 30, 14
Question 33, 7, 16, 48, 18, 11
Question 34, 1, 23, 45, 27, 4
Question 35, 6, 28, 37, 28, 1
Question 36, 10, 31, 46, 3, 10
Question 37, 8, 7, 52, 25, 8
Question 38, 10, 9, 76, 0, 5
Question 39, 1, 5, 62, 26, 6
Question 40, 6, 33, 50, 6, 5
Question 41, 9, 1, 61, 27, 2
Question 42, 1, 31, 54, 14, 0
Question 43, 14, 7, 72, 6, 1
Question 44, 5, 9, 48, 33, 5
Question 45, 3, 23, 46, 23, 5
Question 46, 3, 24, 67, 2, 4
Question 47, 6, 28, 51, 11, 4
Question 48, 9, 29, 28, 24, 10
Question 49, 7, 16, 38, 30, 9
Question 50, 12, 9, 72, 4, 3
